"group","supertype_categoryAllOther","count","proportion"
"E16","0214 Sst Gaba_1",151,0.032508073196986
"E16","0215 Sst Gaba_2",342,0.0736275565123789
"E16","0216 Sst Gaba_3",110,0.0236813778256189
"E16","0217 Sst Gaba_4",73,0.0157158234660926
"E16","0218 Sst Gaba_5",1,0.000215285252960172
"E16","0219 Sst Gaba_6",526,0.113240043057051
"E16","0221 Sst Gaba_8",16,0.00344456404736276
"E16","0223 Sst Gaba_10",289,0.0622174381054898
"E16","0224 Sst Gaba_11",122,0.026264800861141
"E16","0225 Sst Gaba_12",150,0.0322927879440258
"E16","0226 Sst Gaba_13",21,0.00452099031216362
"E16","0227 Sst Gaba_14",5,0.00107642626480086
"E16","0228 Sst Gaba_15",163,0.0350914962325081
"E16","0229 Sst Gaba_16",45,0.00968783638320775
"E16","0230 Sst Gaba_17",343,0.0738428417653391
"E16","0231 Sst Gaba_18",69,0.0148546824542519
"E16","0232 Sst Gaba_19",21,0.00452099031216362
"E16","Not assigned",2198,0.473196986006459
"P1","0214 Sst Gaba_1",680,0.0489279032954382
"P1","0215 Sst Gaba_2",402,0.0289250251834796
"P1","0216 Sst Gaba_3",315,0.0226651316736221
"P1","0217 Sst Gaba_4",938,0.0674917254281192
"P1","0218 Sst Gaba_5",270,0.0194272557202475
"P1","0219 Sst Gaba_6",228,0.0164052381637646
"P1","0220 Sst Gaba_7",106,0.00762699669017125
"P1","0221 Sst Gaba_8",201,0.0144625125917398
"P1","0222 Sst Gaba_9",148,0.0106490142466542
"P1","0223 Sst Gaba_10",2311,0.166282918405526
"P1","0224 Sst Gaba_11",402,0.0289250251834796
"P1","0225 Sst Gaba_12",342,0.0246078572456469
"P1","0226 Sst Gaba_13",126,0.00906605266944884
"P1","0227 Sst Gaba_14",407,0.029284789178299
"P1","0228 Sst Gaba_15",796,0.0572744279752482
"P1","0229 Sst Gaba_16",471,0.0338897683119873
"P1","0230 Sst Gaba_17",407,0.029284789178299
"P1","0231 Sst Gaba_18",302,0.0217297452870917
"P1","0232 Sst Gaba_19",265,0.0190674917254281
"P1","Not assigned",4781,0.344006331846309
"P5","0214 Sst Gaba_1",402,0.0318390622524949
"P5","0215 Sst Gaba_2",175,0.0138602882939965
"P5","0216 Sst Gaba_3",158,0.012513860288294
"P5","0217 Sst Gaba_4",1063,0.0841913511801045
"P5","0218 Sst Gaba_5",437,0.0346111199112942
"P5","0219 Sst Gaba_6",85,0.00673214002851259
"P5","0220 Sst Gaba_7",142,0.0112466339299857
"P5","0221 Sst Gaba_8",502,0.0397592269919214
"P5","0222 Sst Gaba_9",627,0.0496594329162047
"P5","0223 Sst Gaba_10",2666,0.211151591953113
"P5","0224 Sst Gaba_11",140,0.0110882306351972
"P5","0225 Sst Gaba_12",198,0.0156819261840646
"P5","0226 Sst Gaba_13",336,0.0266117535244733
"P5","0227 Sst Gaba_14",578,0.0457785521938856
"P5","0228 Sst Gaba_15",267,0.021146839854269
"P5","0229 Sst Gaba_16",409,0.0323934737842547
"P5","0230 Sst Gaba_17",490,0.0388088072231902
"P5","0231 Sst Gaba_18",311,0.0246317123396167
"P5","0232 Sst Gaba_19",205,0.0162363377158245
"P5","Not assigned",3435,0.272057658799303
"P56","0214 Sst Gaba_1",6875,0.102021131358699
"P56","0215 Sst Gaba_2",1183,0.0175550543123405
"P56","0216 Sst Gaba_3",2004,0.0297382323262302
"P56","0217 Sst Gaba_4",14335,0.212723333531192
"P56","0218 Sst Gaba_5",3999,0.0593429097168635
"P56","0219 Sst Gaba_6",725,0.0107585920341901
"P56","0220 Sst Gaba_7",3740,0.0554994954591322
"P56","0221 Sst Gaba_8",4145,0.0615094675609901
"P56","0222 Sst Gaba_9",3432,0.0509289487742625
"P56","0223 Sst Gaba_10",6141,0.091128984388912
"P56","0224 Sst Gaba_11",2677,0.0397251736214163
"P56","0225 Sst Gaba_12",2126,0.0315486436754318
"P56","0226 Sst Gaba_13",4064,0.0603074731406185
"P56","0227 Sst Gaba_14",2464,0.0365643734789577
"P56","0228 Sst Gaba_15",2893,0.0429304920757405
"P56","0229 Sst Gaba_16",4322,0.0641360479610613
"P56","0230 Sst Gaba_17",956,0.0141865020478423
"P56","0231 Sst Gaba_18",644,0.00955659761381848
"P56","0232 Sst Gaba_19",663,0.00983854692230071
