Celltype,cellcount,Genotype,Brain,Region,imagename,,Stage
YFP-Dach1-high,8,SST-cre,BT3798,MCx,MAX_B3798_MCx_1,,P7
YFP-Dach1-low,18,SST-cre,BT3798,MCx,MAX_B3798_MCx_1,,P7
YFP-Dach1-high,9,SST-cre,BT3798,MCx,MAX_B3798_MCx_2,,P7
YFP-Dach1-low,15,SST-cre,BT3798,MCx,MAX_B3798_MCx_2,,P7
YFP-Dach1-high,4,SST-cre,BT3798,MCx,MAX_B3798_MCx_3,,P7
YFP-Dach1-low,11,SST-cre,BT3798,MCx,MAX_B3798_MCx_3,,P7
YFP-Dach1-high,3,SST-cre,BT3798,MCx,MAX_B3798_MCx_4,,P7
YFP-Dach1-low,23,SST-cre,BT3798,MCx,MAX_B3798_MCx_4,,P7
YFP-Dach1-high,3,SST-cre,BT3798,SSCtx,MAX_B3798_SCx_1,,P7
YFP-Dach1-low,18,SST-cre,BT3798,SSCtx,MAX_B3798_SCx_1,,P7
YFP-Dach1-high,4,SST-cre,BT3798,SSCtx,MAX_B3798_SCx_2,,P7
YFP-Dach1-low,15,SST-cre,BT3798,SSCtx,MAX_B3798_SCx_2,,P7
YFP-Dach1-high,5,SST-cre,BT3798,SSCtx,MAX_B3798_SCx_3,,P7
YFP-Dach1-low,17,SST-cre,BT3798,SSCtx,MAX_B3798_SCx_3,,P7
YFP-Dach1-high,8,SST-cre,BT3798,SSCtx,MAX_B3798_SCx_4,,P7
YFP-Dach1-low,23,SST-cre,BT3798,SSCtx,MAX_B3798_SCx_4,,P7
YFP-Dach1-high,3,SST-cre,BT3798,VCx,MAX_B3798_VCx_1,,P7
YFP-Dach1-low,10,SST-cre,BT3798,VCx,MAX_B3798_VCx_1,,P7
YFP-Dach1-high,4,SST-cre,BT3798,VCx,MAX_B3798_VCx_2,,P7
YFP-Dach1-low,12,SST-cre,BT3798,VCx,MAX_B3798_VCx_2,,P7
YFP-Dach1-high,3,SST-cre,BT3798,VCx,MAX_B3798_VCx_3,,P7
YFP-Dach1-low,6,SST-cre,BT3798,VCx,MAX_B3798_VCx_3,,P7
YFP-Dach1-high,5,SST-cre,BT3798,VCx,MAX_B3798_VCx_4,,P7
YFP-Dach1-low,9,SST-cre,BT3798,VCx,MAX_B3798_VCx_4,,P7
YFP-Dach1-high,1,SST-cre,BT3815,MCx,MAX_B3815_MCx_1,,P7
YFP-Dach1-low,4,SST-cre,BT3815,MCx,MAX_B3815_MCx_1,,P7
YFP-Dach1-high,4,SST-cre,BT3815,MCx,MAX_B3815_MCx_2,,P7
YFP-Dach1-low,17,SST-cre,BT3815,MCx,MAX_B3815_MCx_2,,P7
YFP-Dach1-high,3,SST-cre,BT3815,MCx,MAX_B3815_MCx_3,,P7
YFP-Dach1-low,4,SST-cre,BT3815,MCx,MAX_B3815_MCx_3,,P7
YFP-Dach1-high,5,SST-cre,BT3815,MCx,MAX_B3815_MCx_4,,P7
YFP-Dach1-low,2,SST-cre,BT3815,MCx,MAX_B3815_MCx_4,,P7
YFP-Dach1-high,5,SST-cre,BT3815,SSCtx,MAX_B3815_SCx_1,,P7
YFP-Dach1-low,17,SST-cre,BT3815,SSCtx,MAX_B3815_SCx_1,,P7
YFP-Dach1-high,4,SST-cre,BT3815,SSCtx,MAX_B3815_SCx_2,,P7
YFP-Dach1-low,8,SST-cre,BT3815,SSCtx,MAX_B3815_SCx_2,,P7
YFP-Dach1-high,1,SST-cre,BT3815,SSCtx,MAX_B3815_SCx_3,,P7
YFP-Dach1-low,2,SST-cre,BT3815,SSCtx,MAX_B3815_SCx_3,,P7
YFP-Dach1-high,3,SST-cre,BT3815,SSCtx,MAX_B3815_SCx_4,,P7
YFP-Dach1-low,9,SST-cre,BT3815,SSCtx,MAX_B3815_SCx_4,,P7
YFP-Dach1-low,7,SST-cre,BT3815,VCx,MAX_B3815_VCx_1,,P7
YFP-Dach1-high,4,SST-cre,BT3815,VCx,MAX_B3815_VCx_2,,P7
YFP-Dach1-low,3,SST-cre,BT3815,VCx,MAX_B3815_VCx_2,,P7
