Celltype,cellcount,Genotype,Brainno,Region,imagename,Stage
YFP-MafB-high,14,SST-cre,BT_3853,MCx,MAX_B3853_MCx_1,P5
YFP-MafB-low,6,SST-cre,BT_3853,MCx,MAX_B3853_MCx_1,P5
YFP-MafB-high,6,SST-cre,BT_3853,MCx,MAX_B3853_MCx_2,P5
YFP-MafB-low,2,SST-cre,BT_3853,MCx,MAX_B3853_MCx_2,P5
YFP-MafB-high,4,SST-cre,BT_3853,MCx,MAX_B3853_MCx_3,P5
YFP-MafB-high,5,SST-cre,BT_3853,SCx,MAX_B3853_SCx_1,P5
YFP-MafB-low,4,SST-cre,BT_3853,SCx,MAX_B3853_SCx_1,P5
YFP-MafB-high,5,SST-cre,BT_3853,SCx,MAX_B3853_SCx_2,P5
YFP-MafB-low,4,SST-cre,BT_3853,SCx,MAX_B3853_SCx_2,P5
YFP-MafB-high,9,SST-cre,BT_3853,SCx,MAX_B3853_SCx_3,P5
YFP-MafB-low,13,SST-cre,BT_3853,SCx,MAX_B3853_SCx_3,P5
YFP-MafB-high,6,SST-cre,BT_3853,VCx,MAX_B3853_VCx_1,P5
YFP-MafB-low,2,SST-cre,BT_3853,VCx,MAX_B3853_VCx_1,P5
YFP-MafB-high,7,SST-cre,BT_3853,VCx,MAX_B3853_VCx_2,P5
YFP-MafB-low,4,SST-cre,BT_3853,VCx,MAX_B3853_VCx_2,P5
YFP-MafB-high,28,SST-cre,BT_3854,MCx,MAX_B3854_MCx_1,P5
YFP-MafB-low,16,SST-cre,BT_3854,MCx,MAX_B3854_MCx_1,P5
YFP-MafB-high,16,SST-cre,BT_3854,MCx,MAX_B3854_MCx_2,P5
YFP-MafB-low,9,SST-cre,BT_3854,MCx,MAX_B3854_MCx_2,P5
YFP-MafB-high,30,SST-cre,BT_3854,MCx,MAX_B3854_MCx_3,P5
YFP-MafB-low,25,SST-cre,BT_3854,MCx,MAX_B3854_MCx_3,P5
YFP-MafB-high,26,SST-cre,BT_3854,MCx,MAX_B3854_MCx_4,P5
YFP-MafB-low,20,SST-cre,BT_3854,MCx,MAX_B3854_MCx_4,P5
YFP-MafB-high,35,SST-cre,BT_3854,SCx,MAX_B3854_SCx_1,P5
YFP-MafB-low,24,SST-cre,BT_3854,SCx,MAX_B3854_SCx_1,P5
YFP-MafB-high,24,SST-cre,BT_3854,SCx,MAX_B3854_SCx_2,P5
YFP-MafB-low,19,SST-cre,BT_3854,SCx,MAX_B3854_SCx_2,P5
YFP-MafB-high,18,SST-cre,BT_3854,SCx,MAX_B3854_SCx_3,P5
YFP-MafB-low,17,SST-cre,BT_3854,SCx,MAX_B3854_SCx_3,P5
YFP-MafB-high,21,SST-cre,BT_3854,SCx,MAX_B3854_SCx_4,P5
YFP-MafB-low,18,SST-cre,BT_3854,SCx,MAX_B3854_SCx_4,P5
YFP-MafB-high,12,SST-cre,BT_3854,VCx,MAX_B3854_VCx_1,P5
YFP-MafB-low,12,SST-cre,BT_3854,VCx,MAX_B3854_VCx_1,P5
YFP-MafB-high,4,SST-cre,BT_3854,VCx,MAX_B3854_VCx_2,P5
YFP-MafB-low,5,SST-cre,BT_3854,VCx,MAX_B3854_VCx_2,P5
YFP-MafB-high,14,SST-cre,BT_3854,VCx,MAX_B3854_VCx_3,P5
YFP-MafB-low,11,SST-cre,BT_3854,VCx,MAX_B3854_VCx_3,P5
YFP-MafB-high,5,SST-cre,BT_3854,VCx,MAX_B3854_VCx_4,P5
YFP-MafB-high,20,SST-cre,BT_3855,MCx,MAX_B3855_MCx_1,P5
YFP-MafB-low,12,SST-cre,BT_3855,MCx,MAX_B3855_MCx_1,P5
YFP-MafB-high,12,SST-cre,BT_3855,MCx,MAX_B3855_MCx_2,P5
YFP-MafB-low,11,SST-cre,BT_3855,MCx,MAX_B3855_MCx_2,P5
YFP-MafB-high,26,SST-cre,BT_3855,MCx,MAX_B3855_MCx_3,P5
YFP-MafB-low,21,SST-cre,BT_3855,MCx,MAX_B3855_MCx_3,P5
YFP-MafB-high,17,SST-cre,BT_3855,MCx,MAX_B3855_MCx_4,P5
YFP-MafB-low,13,SST-cre,BT_3855,MCx,MAX_B3855_MCx_4,P5
YFP-MafB-high,10,SST-cre,BT_3855,SCx,MAX_B3855_SCx_1,P5
YFP-MafB-low,3,SST-cre,BT_3855,SCx,MAX_B3855_SCx_1,P5
