"UMAP_1","UMAP_2","sample","major_cluster_label_trained_with_all","cluster_label_trained_with_all","subclass_bootstrapping_probability","subclass_name","Subclass"
0.564125298086038,0.410442522409978,"E16_old","Martinotti","Martinotti_2",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
-2.33931189912237,4.09669675553185,"E16_old","Non-Martinotti","Non-Martinotti_3",0.81,"052 Pvalb Gaba","052 Pvalb Gaba"
-4.30968767541326,-3.93686280524391,"E16_old","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
3.09031194311701,-0.163865366336284,"E16_old","Martinotti","Martinotti_3",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
-3.0188940181104,3.96507444107872,"E16_old","Non-Martinotti","Non-Martinotti_3",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
-4.36065584557928,-5.38734946524757,"E16_old","Non-Martinotti","Non-Martinotti_5",1,"053 Sst Gaba","053 Sst Gaba"
-2.46078330415166,-6.3773211029734,"E16_old","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
2.19569653135859,4.10592355454308,"E16_old","Non-Martinotti","Non-Martinotti_1",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
-3.10056907075323,0.49920626604897,"E16_old","Non-Martinotti","Non-Martinotti_3",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
2.60694712263667,3.78540339196068,"E16_old","LRP","LRP4",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
0.729672847810617,-4.49694905554908,"E16_old","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
3.18962973219477,-3.27796540534156,"E16_old","Non-Martinotti","Non-Martinotti_4",1,"053 Sst Gaba","053 Sst Gaba"
5.45587152105891,-1.24065206324714,"E16_old","LRP","LRP3",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
-0.588638009008536,4.57068028176171,"E16_old","Non-Martinotti","Non-Martinotti_1",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
2.69707220656001,-0.227901497241435,"E16_old","Martinotti","Martinotti_2",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
0.851970969262948,0.247045642379346,"E16_old","Martinotti","Martinotti_2",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
-0.795426310476432,-6.03843531882423,"E16_old","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-2.51295548814214,5.67732348168236,"E16_old","Non-Martinotti","Non-Martinotti_2",0.75,"053 Sst Gaba","053 Sst Gaba"
-1.27365929025091,4.38528694832665,"E16_old","Non-Martinotti","Non-Martinotti_1",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
-0.787183226522574,4.87970986092431,"E16_old","Non-Martinotti","Non-Martinotti_1",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
2.81005018812739,-2.65921626364845,"E16_old","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
-6.40919882195867,1.43801583969933,"E16_old","Non-Martinotti","Non-Martinotti_4",0.94,"053 Sst Gaba","053 Sst Gaba"
-1.90301758187688,2.76839699471337,"E16_old","Non-Martinotti","Non-Martinotti_1",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
1.29560726744257,0.799552104118886,"E16_old","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
-3.58980637925542,-4.698566773292,"E16_old","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
3.98007482153498,3.22904171669823,"E16_old","LRP","LRP4",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
0.230940448498769,-4.5383146790232,"E16_old","Martinotti","Martinotti_3",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
9.5951446877154,0.573240241650166,"E16_old","LRP","LRP_2",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
-4.67096907037176,3.64189328873497,"E16_old","Non-Martinotti","Non-Martinotti_3",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
0.0646810368927625,4.4072190734182,"E16_old","Non-Martinotti","Non-Martinotti_1",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
0.681405602517953,1.46220221245629,"E16_old","Martinotti","Martinotti_2",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
-6.26827484506048,0.0971654585186861,"E16_old","Non-Martinotti","Non-Martinotti_4",1,"053 Sst Gaba","053 Sst Gaba"
-2.28210264581121,3.96923556053978,"E16_old","Non-Martinotti","Non-Martinotti_3",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
-4.94858652490056,-3.57850132262367,"E16_old","Non-Martinotti","Non-Martinotti_5",1,"053 Sst Gaba","053 Sst Gaba"
-3.20627981561101,3.92947044098717,"E16_old","Non-Martinotti","Non-Martinotti_3",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
3.45034116369807,-0.172616252061305,"E16_old","Martinotti","Martinotti_3",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
1.51934152704798,-0.962620356437144,"E16_old","Martinotti","Martinotti_2",1,"045 OB-STR-CTX Inh IMN","045 OB-STR-CTX Inh IMN"
