Sample,dataset_id,n_cells,Int,based_data,Anchors
DiBella_all,DS6,3922,N,BaseAtlas_E16,1809
DiBella_all,DS6,3922,N,BaseAtlas_lim_P5_fixed_sorted,1815
DiBella_all,DS6,3922,N,BaseAtlas_P1,1473
DiBella_all,DS6,3922,N,BaseAtlas_P5,1533
E16_Lim4,DS21,6707,Y,BaseAtlas_E16,2646
E16_Lim4,DS21,6707,Y,BaseAtlas_P1,1936
E16_Lim4,DS21,6707,Y,BaseAtlas_lim_P5_fixed_sorted,3094
E16_Lim4,DS21,6707,Y,BaseAtlas_P5,1445
E18_10X,DS16,7757,N,BaseAtlas_E16,1436
E18_10X,DS16,7757,N,BaseAtlas_lim_P5_fixed_sorted,1436
E18_10X,DS16,7757,N,BaseAtlas_P1,903
E18_10X,DS16,7757,N,BaseAtlas_P5,733
E18_Cortex_Mayer,DS7.1,4545,N,BaseAtlas_lim_P5_fixed_sorted,1821
E18_Cortex_Mayer,DS7.1,4545,N,BaseAtlas_E16,2130
E18_Cortex_Mayer,DS7.1,4545,N,BaseAtlas_P1,1419
E18_Cortex_Mayer,DS7.1,4545,N,BaseAtlas_P5,1156
E18_Lippi,DS18,2898,Y,BaseAtlas_E16,2288
E18_Lippi,DS18,2898,Y,BaseAtlas_P1,2075
E18_Lippi,DS18,2898,Y,BaseAtlas_P5,1849
E18_Lippi,DS18,2898,Y,BaseAtlas_lim_P5_fixed_sorted,3532
P1_Lim3,DS22,4965,Y,BaseAtlas_P1,1917
P1_Lim3,DS22,4965,Y,BaseAtlas_P5,3077
P1_Lim3,DS22,4965,Y,BaseAtlas_E16,1167
P1_Lim3,DS22,4965,Y,BaseAtlas_lim_P5_fixed_sorted,6823
P1_Lim5,DS23,1884,Y,BaseAtlas_P5,2947
P1_Lim5,DS23,1884,Y,BaseAtlas_lim_P5_fixed_sorted,5524
P1_Lim5,DS23,1884,Y,BaseAtlas_E16,3184
P1_Lim5,DS23,1884,Y,BaseAtlas_P1,2954
P1_new_DS24,DS24,12499,Y,BaseAtlas_P5,2446
P1_new_DS24,DS24,12499,Y,BaseAtlas_lim_P5_fixed_sorted,8141
P1_new_DS24,DS24,12499,Y,BaseAtlas_E16,1694
P1_new_DS24,DS24,12499,Y,BaseAtlas_P1,2642
P10_ALM_Allaway,DS12.1,2359,N,BaseAtlas_lim_P5_fixed_sorted,4434
P10_ALM_Allaway,DS12.1,2359,N,BaseAtlas_P1,1691
P10_ALM_Allaway,DS12.1,2359,N,BaseAtlas_P5,2853
P10_ALM_Allaway,DS12.1,2359,N,BaseAtlas_E16,1181
P10_Cortex_Mayer,DS7.2,1234,N,BaseAtlas_lim_P5_fixed_sorted,2116
P10_Cortex_Mayer,DS7.2,1234,N,BaseAtlas_P5,2000
P10_Cortex_Mayer,DS7.2,1234,N,BaseAtlas_E16,1167
P10_Cortex_Mayer,DS7.2,1234,N,BaseAtlas_P1,1507
P10_V1_Allaway,DS12.2,2313,N,BaseAtlas_E16,1576
P10_V1_Allaway,DS12.2,2313,N,BaseAtlas_P1,1910
P10_V1_Allaway,DS12.2,2313,N,BaseAtlas_lim_P5_fixed_sorted,4771
P10_V1_Allaway,DS12.2,2313,N,BaseAtlas_P5,3153
P5_WT1_Lim1,DS19,7089,Y,BaseAtlas_E16,2465
P5_WT1_Lim1,DS19,7089,Y,BaseAtlas_P5,4098
P5_WT1_Lim1,DS19,7089,Y,BaseAtlas_lim_P5_fixed_sorted,9800
P5_WT1_Lim1,DS19,7089,Y,BaseAtlas_P1,3095
P5_WT23_Lim2,DS20,7535,Y,BaseAtlas_E16,2424
P5_WT23_Lim2,DS20,7535,Y,BaseAtlas_P1,2788
P5_WT23_Lim2,DS20,7535,Y,BaseAtlas_P5,4554
P5_WT23_Lim2,DS20,7535,Y,BaseAtlas_lim_P5_fixed_sorted,11320
